DrugID_ChEMBL	PCID
chembl25856	6603820
chembl601773	107715
chembl23	39186
chembl284237	180081
chembl155265	3899541
chembl1229211	54726191
chembl1527608	50942
chembl808	3198
chembl223228	64139
chembl207538	92786
chembl356918	37175
chembl211456	9294
chembl962	6364626
chembl2220427	71277
chembl1200688	443953
chembl1200394	49799977
chembl32749	445858
chembl3580425	703
chembl1096882	30751
chembl1308	3406
chembl288114	370
chembl96	119
chembl514432	6324617
chembl234432	441477
chembl261491	3499
chembl1090479	46885626
chembl2104293	7870
chembl3545431	9888590
chembl1201235	5282592
chembl280828	3080554
chembl2110674	6852395
chembl38576	3082718
chembl126077	5326739
chembl77517	216468
chembl279516	33625
chembl64	3767
chembl150	5280863
chembl275040	10255
chembl534	3827
chembl130321	3838
chembl287327	6604749
chembl31741	54682505
chembl267014	5311200
chembl212301	71070
chembl1160508	1549098
chembl575060	33032
chembl279956	40539
chembl426559	9867642
chembl677	164739
chembl267044	688272
chembl456237	16734800
chembl3828009	46944259
chembl1394135	761523
chembl419	3998
chembl267936	4032
chembl77921	68602
chembl416	4114
chembl1577	4121
chembl460	23897
chembl28626	5281670
chembl288591	5013
chembl68738	657378
chembl8618	4431
chembl9352	439246
chembl222519	3272524
chembl464859	448222
chembl584	64143
chembl57	4463
chembl291278	22880
chembl514554	11612883
chembl14060	996
chembl478523	442291
chembl393525	10275789
chembl1256997	11957664
chembl6557	27559
chembl406845	4878
chembl452861	91536
chembl23327	456214
chembl7064	8515
chembl1738757	25066467
chembl3218011	60138149
chembl6597	5081
chembl18701	5087
chembl430893	448055
chembl10332	108094
chembl312403	122150
chembl278041	5353940
chembl10	176155
chembl3393066	46912230
chembl192	5212
chembl28854	60803
chembl258502	104956
chembl448620	5311437
chembl23194	1103
chembl21	5333
chembl288166	95883
chembl1236315	444305
chembl1136	3002190
chembl140784	126383
chembl33864	864
chembl13608	5329106
chembl404216	5502
chembl54976	6305
chembl34704	3006531
chembl336296	6133
chembl2436978	54764565
chembl638	71616
chembl25554	5685
chembl342375	656732
chembl559147	448042
chembl28079	5722
chembl1518572	121926
chembl551466	11434515
chembl190279	104845
chembl1403281	134551
chembl243712	2159
chembl12856	3698
chembl440283	10634
chembl509507	443324
chembl3186534	11315474
chembl647	2216
chembl1213033	2218
chembl2219425	49831411
chembl1201192	9690109
chembl296419	2247
chembl1163	148192
chembl1366	70788951
chembl1542	2265
chembl639	2267
chembl485818	64982
chembl487253	65628
chembl297302	16363
chembl1201203	1201549
chembl388590	2333
chembl1182210	2335
chembl1200762	65478
chembl264374	39042
chembl290106	2406
chembl844	2435
chembl28218	2448
chembl1370	5281004
chembl334491	68778
chembl188921	2467
chembl511142	9848990
chembl894	444
chembl49	2477
chembl990	2484
chembl590799	2536
chembl1014	2540
chembl1599	30699
chembl474579	53025
chembl168815	2684
chembl505	2725
chembl1371	2733
chembl311498	9064
chembl160629	5311044
chembl1086	3025
chembl549	2771
chembl325109	2780
chembl1626	26987
chembl954	1548953
chembl1042	5280795
chembl499783	5311054
chembl1650	5745
chembl2104153	62865
chembl648	6726
chembl669	2895
chembl771	6234
chembl48361	216210
chembl1201044	6917787
chembl268254	17925
chembl333826	2993
chembl1172	124087
chembl1498	6166
chembl1201353	33036
chembl248702	66265
chembl778	5311068
chembl2051956	6918097
chembl893	18381
chembl1123	3042
chembl898	3059
chembl86754	3728
chembl1200406	10660
chembl1259	21233
chembl22108	21855
chembl657	3100
chembl926	36811
chembl219916	3151
chembl502	3152
chembl1237123	60169
chembl465	16078
chembl305660	3191
chembl2107830	11949646
chembl315838	48041
chembl249856	53708
chembl230006	10114
chembl2104194	5311225
chembl119443	443884
chembl193482	5756
chembl44884	14052
chembl2251610	8365
chembl1200623	13765
chembl308954	193962
chembl94739	3012003
chembl87493	3337
chembl314854	107970
chembl652	3356
chembl1200951	3389
chembl814	5324346
chembl1256786	3410
chembl464982	5280933
chembl64894	11057
chembl1461	3469
chembl601118	16132269
chembl420	5702063
chembl765	3518
chembl862	3519
chembl1289	3561
chembl399121	72281
chembl496	3598
chembl1201325	24199
chembl90	774
chembl1618018	5282593
chembl276832	3637
chembl1906890	442912
chembl1062	6238
chembl12208	5280567
chembl1234973	154417
chembl305187	3689
chembl406	3702
chembl115	5362440
chembl263291	6321424
chembl460291	5311217
chembl960	3899
chembl1201237	39468
chembl1201193	92253
chembl1389	13109
chembl592	5359272
chembl1544	5920
chembl87708	3947
chembl2107448	3033860
chembl87543	42884
chembl191	3961
chembl781	4020
chembl416956	4046
chembl1531134	15387
chembl7568	237
chembl511	4992
chembl73451	4066
chembl1411979	4098
chembl282052	6292
chembl7413	9034
chembl1201268	49800047
chembl459	38853
chembl325372	7456
chembl1731	656511
chembl110458	176077
chembl1561	441314
chembl1029	51634
chembl1670	4211
chembl787	5281040
chembl60889	119584
chembl1070	4409
chembl465026	4450
chembl1448	4477
chembl1140	936
chembl136478	11963622
chembl523	2997
chembl9	4539
chembl8659	445639
chembl153427	41946
chembl13828	4615
chembl1262	5353853
chembl185073	441289
chembl1502	4679
chembl395110	6075
chembl55	4735
chembl75880	4746
chembl340801	16106
chembl275528	6468
chembl1193	4761
chembl186720	7077
chembl1200686	6509979
chembl1909072	6761
chembl294951	27400
chembl18442	65015
chembl404215	4904
chembl506	4908
chembl1761	207841
chembl287631	6314395
chembl1364	1054
chembl1356238	1570
chembl170	3034034
chembl14370	3022645
chembl1272	65981
chembl24147	5054
chembl289480	68712
chembl111	104850
chembl134641	9577995
chembl1263	5152
chembl114	441243
chembl385517	11243969
chembl809	68617
chembl1419	5210
chembl1422	4369359
chembl306043	422786
chembl2079587	25249
chembl1221	5318
chembl404849	5354
chembl95	1935
chembl779	110635
chembl279085	5374
chembl836	129211
chembl506247	16129778
chembl76370	5362436
chembl1017	65999
chembl1908355	54683953
chembl822	1549008
chembl1306	441383
chembl117785	6018
chembl1547	1130
chembl508338	16684434
chembl1201	941651
chembl2103774	444008
chembl833	5472
chembl1350	60937
chembl1182657	15057856
chembl1630578	104903
chembl121626	610479
chembl1020	5509
chembl1179	19493
chembl609	5565
chembl15023	5567
chembl1200604	5593
chembl865	119607
chembl2111176	5648
chembl1520	110634
chembl1201219	39765
chembl637	5656
chembl1090	21704
chembl266349	183797
chembl603	5717
chembl93	60490
chembl924	68740
