ensembl_peptide_id hgnc_symbol
ENSP00000341885 RPS2
ENSP00000341947 LIN54
ENSP00000342828 NKX2-3
ENSP00000342931 POU1F1
ENSP00000343190 PPCDC
ENSP00000343782 ADRB3
ENSP00000344674 DHRS2
ENSP00000344779 RHBDD1
ENSP00000345147 NKX2-4
ENSP00000345629 MAP3K15
ENSP00000346577 AK5
ENSP00000346810 PLAGL1
ENSP00000346879 NKX2-1
ENSP00000347546 BOC
ENSP00000348384 LAMB3
ENSP00000348762 LSS
ENSP00000348915 CBWD1
ENSP00000348959 MAN1A2
ENSP00000349960 ACTB
ENSP00000350195 MAP3K6
ENSP00000350198 SSTR2
ENSP00000350267 BRPF3
ENSP00000351035 HSD17B11
ENSP00000351273 CASP8
ENSP00000351410 PRKAR1A
ENSP00000351777 VCP
ENSP00000351908 MAP3K5
ENSP00000352167 SLC25A29
ENSP00000352216 SLC2A10
ENSP00000352222 CTPS2
ENSP00000352425 WASF1
ENSP00000352455 MFAP5
ENSP00000352516 DNMT1
ENSP00000352572 PCNT
ENSP00000353295 CBWD3
ENSP00000353415 PRKAR1B
ENSP00000353660 PEA15
ENSP00000354193 AOC1
ENSP00000354206 ZNF219
ENSP00000354499 MT-CO1
ENSP00000354566 CD3E
ENSP00000354681 OPA1
ENSP00000354842 TOX
ENSP00000354960 COLGALT2
ENSP00000355001 POU3F3
ENSP00000355493 ADSS
ENSP00000355645 ACTA1
ENSP00000355656 HIST3H2A
ENSP00000356001 MRPL18
ENSP00000356022 SOD2
ENSP00000356170 ETNK2
ENSP00000356247 LGR6
ENSP00000356671 SERPINC1
ENSP00000356842 GPA33
ENSP00000357051 PEX19
ENSP00000357301 RXFP4
ENSP00000357453 MAN1A1
ENSP00000357651 TUBE1
ENSP00000357914 GABPB2
ENSP00000358033 PDSS2
ENSP00000358155 HIST2H2AA3
ENSP00000358301 ADRB1
ENSP00000358327 CASP7
ENSP00000358413 ZDHHC6
ENSP00000358921 ACTR1A
ENSP00000359680 HOGA1
ENSP00000359891 ZDHHC16
ENSP00000360034 SERBP1
ENSP00000360165 ACTRT1
ENSP00000360472 LGI1
ENSP00000360645 MAN1B1
ENSP00000360938 SARDH
ENSP00000360939 CMPK1
ENSP00000360966 SLC2A6
ENSP00000361092 SURF6
ENSP00000361170 MUTYH
ENSP00000361446 POLR3A
ENSP00000361636 TNNC2
ENSP00000361642 PPCS
ENSP00000361699 CTPS1
ENSP00000361892 STK4
ENSP00000361929 CERCAM
ENSP00000362103 POU3F1
ENSP00000362249 AK1
ENSP00000362296 POU3F4
ENSP00000362403 TACR2
ENSP00000362469 SLC2A8
ENSP00000363149 SPDEF
ENSP00000363452 MAN1C1
ENSP00000363794 HSD17B8
ENSP00000363799 ACTL7B
ENSP00000363836 CCNY
ENSP00000364277 FGD1
ENSP00000364310 H2AFX
ENSP00000364555 ACTL8
ENSP00000364858 CARD16
ENSP00000364859 CARD17
ENSP00000365014 NXNL2
ENSP00000365147 EFHD2
ENSP00000365388 PDSS1
ENSP00000365473 MUC21
ENSP00000365806 GNL1
ENSP00000365899 VSX1
ENSP00000366271 KDM2B
ENSP00000366608 CBWD6
ENSP00000366612 CBWD5
ENSP00000366915 KLF5
ENSP00000367030 TRDMT1
ENSP00000367220 ACTR2
ENSP00000367355 ARHGEF35
ENSP00000367658 ACTRT2
ENSP00000368173 DHRS13
ENSP00000368237 ATL2
ENSP00000368516 LGR4
ENSP00000368698 HIVEP1
ENSP00000369666 FBXL19
ENSP00000369703 TUBB2A
ENSP00000369784 TUBAL3
ENSP00000370253 NKX3-1
ENSP00000370648 RDH14
ENSP00000370737 GLDC
ENSP00000370750 RDH11
ENSP00000371040 RLN2
ENSP00000371054 INSL6
ENSP00000371110 GCAT
ENSP00000371875 NKX3-2
ENSP00000373340 BRPF1
ENSP00000373713 SACM1L
ENSP00000373730 H2AFJ
ENSP00000374490 DNAH17
ENSP00000375767 CARD8
ENSP00000376309 HNRNPA3
ENSP00000376849 CASP5
ENSP00000378359 ADH6
ENSP00000378887 DHRS7B
ENSP00000380514 HAGH
ENSP00000381167 DYNC2H1
ENSP00000381785 HSDL2
ENSP00000382697 ROCK1
ENSP00000382982 TUBA3C
ENSP00000383234 MAPK4
ENSP00000384400 CHKB
ENSP00000384524 ETV2
ENSP00000384708 FSHR
ENSP00000386541 PSMD14
ENSP00000387123 ALDH7A1
ENSP00000387176 POTEJ
ENSP00000387185 PGGHG
ENSP00000388566 CASP4
ENSP00000391121 RDH13
ENSP00000392718 POTEI
ENSP00000393324 EIF4E3
ENSP00000394487 FGD4
ENSP00000397415 RLN3
ENSP00000397552 ACTL6A
ENSP00000404676 PGGT1B
ENSP00000406293 TCEA3
ENSP00000407154 HSD11B1L
ENSP00000407182 TNPO2
ENSP00000408526 IMPA1
ENSP00000409581 ARRB1
ENSP00000410076 CASP1
ENSP00000410186 AK9
ENSP00000411825 PDCD6IP
ENSP00000416706 ACTBL2
ENSP00000417601 FBXL2
ENSP00000418447 PPP2CA
ENSP00000420269 ADH7
ENSP00000422533 ADGRL3
ENSP00000424038 CASP12
ENSP00000424417 PLRG1
ENSP00000425561 EIF4E
ENSP00000426909 RACK1
ENSP00000431876 USP35
ENSP00000432786 KDM2A
ENSP00000435835 EHF
ENSP00000436691 CARD18
ENSP00000437464 FBXL17
ENSP00000439189 POTEE
ENSP00000450554 ENSP00000450554
ENSP00000450687 RAX2
ENSP00000451235 ENSP00000451235
ENSP00000451560 ENSP00000451560
ENSP00000453302 ADAM8
ENSP00000457031 CHKB-CPT1B
ENSP00000466799 HSD17B1
ENSP00000467176 TNNT1
ENSP00000471921 SPIB
ENSP00000473036 PNMA8B
ENSP00000473172 RUVBL2
ENSP00000473233 ENSP00000473233
ENSP00000007414 OSBPL7
ENSP00000007699 YBX2
ENSP00000008938 PGLYRP1
ENSP00000016171 COX15
ENSP00000043402 RTN4R
ENSP00000052754 DCN
ENSP00000055682 NEXMIF
ENSP00000070846 PKP2
ENSP00000156084 OTUD5
ENSP00000166345 TRIP13
ENSP00000175506 ASNS
ENSP00000181839 CDK13
ENSP00000182377 FAR2
ENSP00000196551 RPS5
ENSP00000202831 SLC8B1
ENSP00000205061 GLG1
ENSP00000210060 DHPS
ENSP00000210187 RAB26
ENSP00000214869 TMED1
ENSP00000216200 PVALB
ENSP00000216241 CHADL
ENSP00000216492 CHGA
ENSP00000216802 PSME2
ENSP00000216911 AURKA
ENSP00000217026 MYBL2
ENSP00000217182 EEF1A2
ENSP00000217244 CSNK2A1
ENSP00000217939 MXRA5
ENSP00000219789 CDIPT
ENSP00000221554 CCDC130
ENSP00000226840 AADAT
ENSP00000227155 CD82
ENSP00000228251 YBX3
ENSP00000230568 LY86
ENSP00000230771 HARS2
ENSP00000230859 PAPD7
ENSP00000231790 MLH1
ENSP00000233627 NDUFS7
ENSP00000234179 PRKD3
ENSP00000236671 CTSD
ENSP00000236959 ATIC
ENSP00000238379 HDHD3
ENSP00000238651 ACOT2
ENSP00000238789 ATAD2B
ENSP00000239451 SLC25A2
ENSP00000241312 CSMD2
ENSP00000244137 PEPD
ENSP00000244217 MCEE
ENSP00000245539 MRPS7
ENSP00000246062 MKKS
